hidden nodes: 600, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.98110]
hidden nodes: 600, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97900]
hidden nodes: 600, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97300]
hidden nodes: 600, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97160]
hidden nodes: 600, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97060]
hidden nodes: 600, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.96970]
hidden nodes: 600, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.96950]
hidden nodes: 600, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95240]
hidden nodes: 600, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.95040]
hidden nodes: 600, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94970]
hidden nodes: 600, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94850]
hidden nodes: 600, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94830]
hidden nodes: 600, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92530]
hidden nodes: 600, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92620]
hidden nodes: 600, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92610]
hidden nodes: 600, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92600]
hidden nodes: 600, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92580]
hidden nodes: 700, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97770]
hidden nodes: 700, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98310]
hidden nodes: 700, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98430]
hidden nodes: 700, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98350]
hidden nodes: 700, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98260]
hidden nodes: 700, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.98020]
hidden nodes: 700, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98160]
hidden nodes: 700, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98070]
hidden nodes: 700, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.98020]
hidden nodes: 700, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.98100]
hidden nodes: 700, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97200]
hidden nodes: 700, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97200]
hidden nodes: 700, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97150]
hidden nodes: 700, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.97060]
hidden nodes: 700, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.97040]
hidden nodes: 700, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95150]
hidden nodes: 700, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.95140]
hidden nodes: 700, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.95070]
hidden nodes: 700, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.95030]
hidden nodes: 700, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.95020]
hidden nodes: 700, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92570]
hidden nodes: 700, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92740]
hidden nodes: 700, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92570]
hidden nodes: 700, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92550]
hidden nodes: 700, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92560]
hidden nodes: 800, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.98200]
hidden nodes: 800, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98430]
hidden nodes: 800, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98420]
hidden nodes: 800, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98430]
hidden nodes: 800, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98310]
hidden nodes: 800, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.98060]
hidden nodes: 800, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98100]
hidden nodes: 800, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.97980]
hidden nodes: 800, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97970]
